x, y
-0.0001605431184189126, -0.00039719458528652066
0.0014574796829011085, 0.005072706400076533
0.010274759578810407, 0.012890198985937053
0.026310183995005326, 0.02319926097770975
0.04203711379149331, 0.033100664880895435
0.06604617975582755, 0.04272290251602411
0.08463770244959418, 0.04854688845307568
0.10419720571029836, 0.05202621257055391
0.12363236675183496, 0.0548141083899359
0.1539561287073131, 0.05777611690423802
0.1860285514918443, 0.05967168516215441
0.21918542730177384, 0.06065525447240027
0.255098293311228, 0.06132826700468765
0.2987235248133555, 0.06162459341815747